Order Date,Delivery Date,Customer Name,CustomerID,City,Country,Country Code, Cost,Sales,Quantity,Discount,Delivery Cost,MenuID,Course Name,Cuisine Name,Starter Name,Desert Name,Drink,Sides
25/11/2021,05/12/2020,Jillayne Gaiford,247,Būlaevo,Kazakhstan,KZ,235,352.5,1,54.08,86.02,28,Shwarma,Italian,Tomato bread,Baklava,Turkish Coffee,Fries
29/09/2019,12/03/2022,Tiertza Doogan,761,Ovsyanka,Russia,RU,75,112.5,3,98.01,35.33,29,Greek salad,Italian,Falafel,Greek yoghurt,Athens White wine,Tapas
13/04/2022,18/03/2021,Ilario Michie,287,Pindiga,Nigeria,NG,220,330,3,99.24,31.82,30,Bean soup,Turkish,Hummus,Ice cream,Corfu Red Wine,Potato salad
10/12/2020,12/11/2019,Sarah Plaschke,40,Narathiwat,Thailand,TH,320,480,2,30,54.59,31,Pizza,Greek,Olives,Cheesecake,Italian Coffee,Bruschetta
19/11/2022,30/12/2022,Skipp Lowater,57,Pacaraos,Peru,PE,210,315,1,37.04,51.93,32,Carbonara,Italian,Flatbread,Affogato,Roma Red wine,Focaccia
16/08/2021,17/04/2021,Maddalena Wolfinger,828,Senanga,Zambia,ZM,310,465,2,24,45.57,33,Kabasa,Italian,Minestrone,Turkish yoghurt,Ankara White Wine,Meatballs
13/06/2021,31/08/2022,Mariquilla Labbe,189,Notsé,Togo,TG,225,337.5,3,10,78.35,34,Shwarma,Turkish,Tomato bread,Baklava,Turkish Coffee,Fries
02/02/2021,28/12/2021,Cornelius Harkess,572,Morelos,Mexico,MX,190,285,2,53.53,17.19,35,Greek salad,Greek,Falafel,Greek yoghurt,Athens White wine,Tapas
07/03/2022,08/09/2021,Erv Padrick,594,Phichai,Thailand,TH,98,147,1,23,83.86,36,Bean soup,Italian,Hummus,Ice cream,Corfu Red Wine,Potato salad
02/12/2022,08/11/2020,Fielding Struys,31,Shensuo,China,CN,168.27,252.41,3,73.09,91.47,25,Pizza,Italian,Olives,Cheesecake,Italian Coffee,Bruschetta
16/12/2019,01/09/2022,Purcell Eyer,842,Qulsary,Kazakhstan,KZ,124.62,186.93,3,20.33,60.4,26,Carbonara,Turkish,Flatbread,Affogato,Roma Red wine,Focaccia
27/05/2022,26/11/2021,Pietra Dibdall,972,El Alamo,Mexico,MX,144.09,216.14,2,9.12,22.02,27,Kabasa,Greek,Minestrone,Turkish yoghurt,Ankara White Wine,Meatballs
29/03/2020,21/03/2021,Dyanne Labbet,433,Samanggen,Indonesia,ID,101.6,152.4,1,67.77,32.74,28,Shwarma,Italian,Tomato bread,Baklava,Turkish Coffee,Fries
12/01/2021,02/01/2021,Elsworth Stannas,743,Jinhai,China,CN,93.13,139.7,2,35.44,51.13,29,Greek salad,Italian,Falafel,Greek yoghurt,Athens White wine,Tapas
12/08/2022,20/02/2022,Marlo McGeaney,660,Matangshan,China,CN,44.57,66.86,3,31.2,54.68,30,Bean soup,Turkish,Hummus,Ice cream,Corfu Red Wine,Potato salad
27/03/2022,12/05/2020,Calvin Aucock,179,Ngarus,Indonesia,ID,91.84,137.76,2,61.49,62.4,31,Pizza,Greek,Olives,Cheesecake,Italian Coffee,Bruschetta
15/02/2022,26/08/2020,Prudence Eastlake,144,Stockholm,Sweden,SE,133.17,199.76,1,91.14,63.51,37,Carbonara,Italian,Olives,Affogato,Roma Red wine,Focaccia
11/10/2021,02/06/2021,Gwenora Beauchamp,966,Petauke,Zambia,ZM,52.08,78.12,3,97.48,3.76,38,Kabasa,Italian,Flatbread,Turkish yoghurt,Ankara White Wine,Meatballs
24/08/2020,17/07/2020,Jerrie Jiran,584,Lorena,Brazil,BR,83.99,125.99,3,68.89,43.56,39,Shwarma,Turkish,Minestrone,Baklava,Turkish Coffee,Fries
17/06/2021,10/06/2022,Linc Martynov,171,Saint-Malo,France,FR,69.38,104.07,2,47.84,9.37,40,Greek salad,Greek,Tomato bread,Greek yoghurt,Athens White wine,Tapas
12/01/2021,24/08/2021,Jackie Kment,891,Bến Cầu,Vietnam,VN,119.8,179.7,1,94.76,81.98,41,Bean soup,Italian,Falafel,Ice cream,Corfu Red Wine,Potato salad
03/12/2021,05/10/2021,Phil Schapero,296,Rancapare,Indonesia,ID,125,187.5,2,20,21.45,42,Pizza,Italian,Hummus,Cheesecake,Italian Coffee,Bruschetta
03/11/2019,28/08/2022,Giusto Sheavills,601,Mospyne,Ukraine,UA,235,352.5,3,15,32.78,43,Carbonara,Turkish,Olives,Affogato,Roma Red wine,Focaccia
03/07/2019,22/10/2022,Emmalynne Hairs,413,Lewobelek,Indonesia,ID,75,112.5,2,10.52,46.02,44,Kabasa,Greek,Flatbread,Turkish yoghurt,Ankara White Wine,Meatballs
09/10/2021,25/04/2021,Mirna Rosita,355,Novorossiysk,Russia,RU,220,330,1,11.23,95.19,45,Shwarma,Italian,Minestrone,Baklava,Turkish Coffee,Fries
06/09/2021,24/06/2021,Alard Briat,8,Kyshtym,Russia,RU,320,480,3,51.05,31.52,46,Greek salad,Italian,Tomato bread,Greek yoghurt,Athens White wine,Tapas
30/08/2020,21/05/2020,Ferdinand Fowley,801,Ntungamo,Uganda,UG,210,315,3,89.84,55.26,47,Bean soup,Turkish,Falafel,Ice cream,Corfu Red Wine,Potato salad
05/08/2019,06/05/2020,Averell Joint,36,Hancheng,China,CN,310,465,2,17.4,82.34,48,Pizza,Greek,Hummus,Cheesecake,Italian Coffee,Bruschetta
16/10/2022,10/01/2020,Deane Benbough,244,Dongxin,China,CN,225,337.5,1,91.41,48.78,37,Carbonara,Italian,Olives,Affogato,Roma Red wine,Focaccia
19/12/2021,21/10/2021,Grenville Hyne,375,Shawan,China,CN,190,285,2,9.71,29.71,38,Kabasa,Italian,Flatbread,Turkish yoghurt,Ankara White Wine,Meatballs
15/08/2019,15/05/2021,Asia McNess,940,Carromeu,Portugal,PT,98,147,3,80.34,48.52,39,Shwarma,Turkish,Minestrone,Baklava,Turkish Coffee,Fries
28/05/2020,28/02/2021,Fayre Crocket,789,Kohila,Estonia,EE,168.27,252.41,2,54.08,26.73,40,Greek salad,Greek,Tomato bread,Greek yoghurt,Athens White wine,Tapas
11/12/2019,27/03/2021,Olive Jeannon,949,Kizhinga,Russia,RU,124.62,186.93,1,98.01,19.95,41,Bean soup,Italian,Falafel,Ice cream,Corfu Red Wine,Potato salad
15/05/2022,14/07/2021,Karoline Pocock,170,Bislig,Philippines,PH,144.09,216.14,3,99.24,22.75,42,Pizza,Italian,Hummus,Cheesecake,Italian Coffee,Bruschetta
06/06/2021,13/01/2021,Rosanne Zorzutti,82,Oji River,Nigeria,NG,101.6,152.4,3,30,22.4,43,Carbonara,Turkish,Olives,Affogato,Roma Red wine,Focaccia
28/04/2021,07/07/2021,Kele Bracknell,508,Pisangkemeng,Indonesia,ID,93.13,139.7,2,37.04,65.44,49,Kabasa,Greek,Olives,Turkish yoghurt,Ankara White Wine,Meatballs
22/01/2022,13/02/2022,Artair Lant,25,Ulety,Russia,RU,44.57,66.86,1,24,55.93,50,Shwarma,Italian,Flatbread,Baklava,Turkish Coffee,Fries
15/08/2021,07/04/2021,Marielle Buffey,511,Mogoditshane,Botswana,BW,91.84,137.76,2,10,45.3,51,Greek salad,Italian,Minestrone,Greek yoghurt,Athens White wine,Tapas
17/07/2019,25/09/2020,Maighdiln Lamswood,223,Guangshun,China,CN,133.17,199.76,3,53.53,7.25,52,Bean soup,Turkish,Tomato bread,Ice cream,Corfu Red Wine,Potato salad
10/08/2022,11/06/2022,Deina Agus,532,Molagavita,Colombia,CO,52.08,78.12,2,23,69.28,53,Pizza,Greek,Falafel,Cheesecake,Italian Coffee,Bruschetta
08/01/2021,22/06/2021,Cirilo Koschek,376,Garešnica,Croatia,HR,83.99,125.99,1,73.09,17.37,54,Carbonara,Italian,Hummus,Affogato,Roma Red wine,Focaccia
06/07/2022,01/07/2022,Konrad Standering,714,Sanshan,China,CN,69.38,104.07,3,20.33,15.72,55,Kabasa,Italian,Olives,Turkish yoghurt,Ankara White Wine,Meatballs
01/07/2020,22/03/2021,Lilyan Schohier,400,Youchou,China,CN,119.8,179.7,3,9.12,71.12,56,Shwarma,Turkish,Flatbread,Baklava,Turkish Coffee,Fries
19/08/2022,24/06/2021,Eva Dulake,815,Voiron,France,FR,125,187.5,2,67.77,9.94,57,Greek salad,Greek,Minestrone,Greek yoghurt,Athens White wine,Tapas
20/11/2020,19/04/2021,Roi Critzen,411,Leninsk,Russia,RU,235,352.5,1,35.44,4.27,58,Bean soup,Italian,Tomato bread,Ice cream,Corfu Red Wine,Potato salad
14/12/2020,03/07/2022,Darby McLae,90,Sinmak,North Korea,KP,75,112.5,2,31.2,64.77,59,Pizza,Italian,Falafel,Cheesecake,Italian Coffee,Bruschetta
30/10/2019,19/07/2022,Christian Yeld,717,Parigi,Indonesia,ID,220,330,3,61.49,77.22,60,Carbonara,Turkish,Hummus,Affogato,Roma Red wine,Focaccia
24/08/2022,08/06/2021,Delilah Ayerst,241,Ngedhusuba,Indonesia,ID,320,480,2,91.14,29.57,49,Kabasa,Greek,Olives,Turkish yoghurt,Ankara White Wine,Meatballs
22/02/2020,22/02/2022,Hynda Skeel,379,Mata-Utu,Wallis and Futuna,WF,210,315,1,97.48,71.1,50,Shwarma,Italian,Flatbread,Baklava,Turkish Coffee,Fries
01/11/2019,05/11/2021,Mill Lambell,449,Otuzco,Peru,PE,310,465,3,68.89,30.69,51,Greek salad,Italian,Minestrone,Greek yoghurt,Athens White wine,Tapas
13/09/2019,15/04/2022,Melicent Gieves,224,Jangkat,Indonesia,ID,225,337.5,3,47.84,5.97,52,Bean soup,Turkish,Tomato bread,Ice cream,Corfu Red Wine,Potato salad
15/08/2022,10/02/2020,Melisent Claessens,303,Tân Phú,Vietnam,VN,190,285,2,94.76,64.97,53,Pizza,Greek,Falafel,Cheesecake,Italian Coffee,Bruschetta
02/11/2019,30/07/2021,Son Hurworth,800,Cruz Alta,Brazil,BR,98,147,1,20,83.78,54,Carbonara,Italian,Hummus,Affogato,Roma Red wine,Focaccia
05/05/2022,01/01/2021,Martainn Van Zon,190,Su-ngai Kolok,Thailand,TH,168.27,252.41,2,15,28.9,55,Kabasa,Italian,Olives,Turkish yoghurt,Ankara White Wine,Meatballs
20/02/2022,28/04/2022,Elladine Kobiela,260,Bajos de Haina,Dominican Republic,DO,124.62,186.93,3,10.52,4.52,61,Shwarma,Turkish,Olives,Baklava,Turkish Coffee,Fries
20/04/2021,14/08/2021,Candy Simoncelli,442,Shuiting,China,CN,144.09,216.14,2,11.23,47.22,62,Greek salad,Greek,Flatbread,Greek yoghurt,Athens White wine,Tapas
22/01/2021,30/09/2020,Berkley Petrashov,409,La Rioja,Argentina,AR,101.6,152.4,1,51.05,60.19,63,Bean soup,Italian,Minestrone,Ice cream,Corfu Red Wine,Potato salad
12/12/2021,08/12/2022,Eba Harriagn,3,La Calera,Argentina,AR,93.13,139.7,3,89.84,13.63,64,Pizza,Italian,Tomato bread,Cheesecake,Italian Coffee,Bruschetta
28/02/2020,10/12/2021,Wilek Ivanyushkin,581,Maych’ew,Ethiopia,ET,44.57,66.86,3,17.4,22.46,65,Carbonara,Turkish,Falafel,Affogato,Roma Red wine,Focaccia
05/06/2022,30/09/2022,Kalindi Ryman,126,Sumbersari Wetan,Indonesia,ID,91.84,137.76,2,91.41,92.87,66,Kabasa,Greek,Hummus,Turkish yoghurt,Ankara White Wine,Meatballs
19/06/2021,31/10/2020,Viva Foulstone,773,Opatówek,Poland,PL,133.17,199.76,1,9.71,76.56,67,Shwarma,Italian,Olives,Baklava,Turkish Coffee,Fries
14/10/2019,10/11/2019,Hermione Crix,255,Tuopu,China,CN,52.08,78.12,2,80.34,16,68,Greek salad,Italian,Flatbread,Greek yoghurt,Athens White wine,Tapas
11/08/2022,18/01/2021,Evan Goldsbury,803,Businovo,Russia,RU,83.99,125.99,3,54.08,16.17,69,Bean soup,Turkish,Minestrone,Ice cream,Corfu Red Wine,Potato salad
21/12/2021,12/01/2022,Linus Gresham,656,Cañas,Costa Rica,CR,69.38,104.07,2,98.01,74.87,70,Pizza,Greek,Tomato bread,Cheesecake,Italian Coffee,Bruschetta
18/02/2020,12/11/2022,Malchy Huddlestone,724,Hradec Králové,Czech Republic,CZ,119.8,179.7,1,99.24,65.51,71,Carbonara,Italian,Falafel,Affogato,Roma Red wine,Focaccia
26/02/2020,27/04/2020,Hakeem Leadston,962,Haoxue,China,CN,125,187.5,3,30,4.66,72,Kabasa,Italian,Hummus,Turkish yoghurt,Ankara White Wine,Meatballs
13/12/2022,31/10/2022,Lucilia Sandeman,834,Liangjing,China,CN,235,352.5,3,37.04,49.98,61,Shwarma,Turkish,Olives,Baklava,Turkish Coffee,Fries
30/12/2021,19/01/2021,Yorgos Staite,889,Hartswater,South Africa,ZA,75,112.5,2,24,65.47,62,Greek salad,Greek,Flatbread,Greek yoghurt,Athens White wine,Tapas
07/05/2021,03/10/2022,Lenore Tabb,258,Mayuan,China,CN,220,330,1,10,70.45,63,Bean soup,Italian,Minestrone,Ice cream,Corfu Red Wine,Potato salad
17/09/2019,14/12/2021,Cathleen Gooday,539,Sabugo,Portugal,PT,320,480,2,53.53,44.7,64,Pizza,Italian,Tomato bread,Cheesecake,Italian Coffee,Bruschetta
10/03/2020,14/09/2022,Heinrick Setchfield,920,Yushikalasu,China,CN,210,315,3,23,63.85,65,Carbonara,Turkish,Falafel,Affogato,Roma Red wine,Focaccia
29/12/2021,02/12/2019,Worth Laweles,716,Ho,Ghana,GH,310,465,2,73.09,27.86,66,Kabasa,Greek,Hummus,Turkish yoghurt,Ankara White Wine,Meatballs
07/05/2021,21/11/2022,Noby Torvey,938,Couva,Trinidad and Tobago,TT,225,337.5,1,20.33,52.95,67,Shwarma,Italian,Olives,Baklava,Turkish Coffee,Fries
19/09/2022,18/03/2020,Adah Adamczewski,894,Nangang,China,CN,190,285,3,9.12,92.87,7,Greek salad,Italian,Olives,Greek yoghurt,Athens White wine,Tapas
17/07/2022,04/09/2022,Vivie Twinning,599,Banī an Nahārī,Yemen,YE,98,147,3,67.77,43.79,8,Bean soup,Turkish,Flatbread,Ice cream,Corfu Red Wine,Potato salad
03/02/2021,27/03/2021,Zora Hanalan,924,Lagayan,Philippines,PH,168.27,252.41,2,35.44,24.52,9,Pizza,Greek,Minestrone,Cheesecake,Italian Coffee,Bruschetta
13/12/2021,09/04/2020,Ham Penhall,614,Kisoro,Uganda,UG,124.62,186.93,1,31.2,45.83,10,Carbonara,Italian,Tomato bread,Affogato,Roma Red wine,Focaccia
21/01/2022,10/07/2022,Blancha Trippack,298,Kassándreia,Greece,GR,144.09,216.14,2,61.49,79.34,11,Kabasa,Italian,Falafel,Turkish yoghurt,Ankara White Wine,Meatballs
14/06/2022,23/09/2021,Carney Speer,728,Duas Igrejas,Portugal,PT,101.6,152.4,3,91.14,1.65,12,Shwarma,Turkish,Hummus,Baklava,Turkish Coffee,Fries
24/12/2020,11/02/2022,Christoforo Vagg,871,Ijuí,Brazil,BR,93.13,139.7,2,97.48,77.23,1,Greek salad,Greek,Olives,Greek yoghurt,Athens White wine,Tapas
20/11/2019,05/12/2021,Lorette Golsthorp,118,Shuiting,China,CN,44.57,66.86,1,68.89,37.86,2,Bean soup,Italian,Flatbread,Ice cream,Corfu Red Wine,Potato salad
17/01/2020,19/01/2020,Rana Rait,86,Açucena,Brazil,BR,91.84,137.76,3,47.84,84.98,3,Pizza,Italian,Minestrone,Cheesecake,Italian Coffee,Bruschetta
03/10/2021,12/10/2021,Nev Bompas,174,Qianyou,China,CN,133.17,199.76,3,94.76,98.05,4,Carbonara,Turkish,Tomato bread,Affogato,Roma Red wine,Focaccia
29/04/2020,04/04/2020,Sherilyn Ilewicz,356,Tambulig,Philippines,PH,52.08,78.12,2,20,71.27,5,Kabasa,Greek,Falafel,Turkish yoghurt,Ankara White Wine,Meatballs
10/06/2020,12/03/2022,Fredi Helks,843,Kasugai,Japan,JP,83.99,125.99,1,15,62.6,6,Shwarma,Italian,Hummus,Baklava,Turkish Coffee,Fries
03/06/2020,06/08/2022,Steward Lavies,691,Parlilitan,Indonesia,ID,69.38,104.07,2,10.52,19.09,7,Greek salad,Italian,Olives,Greek yoghurt,Athens White wine,Tapas
02/08/2022,17/07/2022,Anastasie Jahnisch,820,Bi’r al Ḩufayy,Tunisia,TN,119.8,179.7,3,11.23,29.33,8,Bean soup,Turkish,Flatbread,Ice cream,Corfu Red Wine,Potato salad
07/08/2021,15/11/2021,Lyndel Rodwell,525,Nālchiti,Bangladesh,BD,125,187.5,2,51.05,81.01,9,Pizza,Greek,Minestrone,Cheesecake,Italian Coffee,Bruschetta
15/08/2020,29/05/2022,Elisabetta Jacke,489,San Juan,Philippines,PH,235,352.5,1,89.84,93.41,10,Carbonara,Italian,Tomato bread,Affogato,Roma Red wine,Focaccia
03/10/2022,22/04/2021,Gage Tocknell,849,Calasgasan,Philippines,PH,75,112.5,3,17.4,75.6,11,Kabasa,Italian,Falafel,Turkish yoghurt,Ankara White Wine,Meatballs
26/09/2021,01/10/2020,Den Coppock.,70,Golden,Canada,CA,220,330,3,91.41,25.49,12,Shwarma,Turkish,Hummus,Baklava,Turkish Coffee,Fries
11/01/2020,16/07/2021,Granville Mallison,500,Longhuashan,China,CN,320,480,2,9.71,61.92,1,Greek salad,Greek,Olives,Greek yoghurt,Athens White wine,Tapas
01/09/2021,12/08/2020,Davita Baynham,847,Osekovo,Croatia,HR,210,315,1,80.34,91.86,19,Bean soup,Italian,Olives,Ice cream,Corfu Red Wine,Potato salad
27/08/2021,04/11/2020,Brook Rainger,311,Medaya,Syria,SY,310,465,2,54.08,34.87,20,Pizza,Italian,Flatbread,Cheesecake,Italian Coffee,Bruschetta
05/08/2022,25/04/2021,Torr Windrus,300,Yejia,China,CN,225,337.5,3,98.01,88.17,21,Carbonara,Turkish,Minestrone,Affogato,Roma Red wine,Focaccia
21/08/2022,30/03/2021,Sterne Salterne,357,Shawnee Mission,United States,US,190,285,2,99.24,37.78,22,Kabasa,Greek,Tomato bread,Turkish yoghurt,Ankara White Wine,Meatballs
25/05/2021,24/12/2021,Keane Wait,930,Emiliano Zapata,Mexico,MX,98,147,1,30,89.59,23,Shwarma,Italian,Falafel,Baklava,Turkish Coffee,Fries
11/08/2021,14/05/2022,Shelbi Grishakov,727,Makur,Micronesia,FM,168.27,252.41,3,37.04,47.78,24,Greek salad,Italian,Hummus,Greek yoghurt,Athens White wine,Tapas
06/07/2020,19/06/2022,Wyn Attwoull,646,Ladhewāla Warāich,Pakistan,PK,124.62,186.93,3,24,58.92,13,Bean soup,Turkish,Olives,Ice cream,Corfu Red Wine,Potato salad
13/08/2020,07/10/2021,Mady McMennum,465,Provo,United States,US,144.09,216.14,2,10,51.72,14,Pizza,Greek,Flatbread,Cheesecake,Italian Coffee,Bruschetta
22/12/2020,02/12/2022,Hedi Pellington,798,Dranoc,Kosovo,XK,101.6,152.4,1,53.53,8.35,15,Carbonara,Italian,Minestrone,Affogato,Roma Red wine,Focaccia
22/09/2019,03/06/2021,Durante Bullers,195,Quiñota,Peru,PE,93.13,139.7,2,23,75.14,16,Kabasa,Italian,Tomato bread,Turkish yoghurt,Ankara White Wine,Meatballs
04/02/2021,21/04/2020,Gale Reeves,216,Bhadrapur,Nepal,NP,44.57,66.86,3,73.09,97.1,17,Shwarma,Turkish,Falafel,Baklava,Turkish Coffee,Fries
10/10/2022,05/12/2019,Erika Greensmith,365,Kindu,Democratic Republic of the Congo,CD,91.84,137.76,2,20.33,13.66,18,Greek salad,Greek,Hummus,Greek yoghurt,Athens White wine,Tapas
24/07/2022,03/08/2021,Gerta Sanday,242,Dengtang,China,CN,133.17,199.76,1,9.12,68.57,19,Bean soup,Italian,Olives,Ice cream,Corfu Red Wine,Potato salad
